Name,Country,Type,Lat,Lon,Altitude
Abu,Honshu-Japan,Shield volcanoes,34.5,131.6,641
Acamarachi,Chile-N,Stratovolcano,-23.3,-67.62,6046
Acatenango,Guatemala,Stratovolcano,14.5,-90.88,3976
Acigol-Nevsehir,Turkey,Caldera,38.57,34.52,1689
Adams,US-Washington,Stratovolcano,46.21,-121.49,3742
Adams Seamount,Pacific-C,Submarine volcano,-25.37,-129.27,-39
Adatara,Honshu-Japan,Stratovolcanoes,37.64,140.29,1718
Adwa,Ethiopia,Stratovolcano,10.07,40.84,1733
Afder,Ethiopia,Stratovolcano,13.08,40.85,1295
Agrigan,Mariana Is-C Pacific,Stratovolcano,18.77,145.67,965
Agua,Guatemala,Stratovolcano,14.47,-90.74,3760
Agua de Pau,Azores,Stratovolcano,37.77,-25.47,947
Aguilera,Chile-S,Stratovolcano,-50.33,-73.75,2546
Agung,Lesser Sunda Is,Stratovolcano,-8.34,115.51,3142
Ahyi,Mariana Is-C Pacific,Submarine volcano,20.42,145.03,-137
Akademia Nauk,Kamchatka,Stratovolcanoes,53.98,159.45,1180
Akagi,Honshu-Japan,Stratovolcano,36.56,139.2,1828
Akan,Hokkaido-Japan,Caldera,43.38,144.01,1499
Akhtang,Kamchatka,Shield volcano,55.43,158.65,1956
Akita-Komaga-take,Honshu-Japan,Stratovolcanoes,39.76,140.8,1637
Akita-Yake-yama,Honshu-Japan,Stratovolcano,39.96,140.76,1366
Akuseki-jima,Ryukyu Is,Stratovolcanoes,29.46,129.6,584
Akutan,Aleutian Is,Stratovolcano,54.13,-165.99,1303
Alaid,Kuril Is,Stratovolcano,50.86,155.55,2339
Alamagan,Mariana Is-C Pacific,Stratovolcano,17.6,145.83,744
Alayta,Ethiopia,Shield volcano,12.88,40.57,1501
Alban Hills,Italy,Caldera,41.73,12.7,949
Alcedo,Galapagos,Shield volcano,-0.43,-91.12,1130
Ale Bagu,Ethiopia,Stratovolcano,13.52,40.63,1031
Alid,Ethiopia,Stratovolcano,14.88,39.92,904
Alligator Lake,Canada,Volcanic field,60.42,-135.42,2217
Almolonga,Guatemala,Stratovolcano,14.82,-91.48,3197
Alney-Chashakondzha,Kamchatka,Stratovolcano,56.7,159.65,2598
Alngey,Kamchatka,Stratovolcano,57.7,160.4,1853
Alu,Ethiopia,Fissure vents,13.82,40.55,429
Alutu,Ethiopia,Stratovolcano,7.77,38.78,2335
Amak,Aleutian Is,Stratovolcano,55.42,-163.15,488
Amasing,Halmahera-Indonesia,Stratovolcanoes,-0.53,127.48,1030
Ambalatungan Group,Luzon-Philippines,Compound volcano,17.32,121.1,2329
Ambang,Sulawesi-Indonesia,Complex volcano,0.75,124.42,1795
Ambitle,New Ireland-SW Pacific,Stratovolcano,-4.08,153.65,450
Ambre-Bobaomby,Madagascar,Volcanic field,-12.6,49.15,1475
Ambrym,Vanuatu-SW Pacific,Pyroclastic shield,-16.25,168.12,1334
Amorong,Luzon-Philippines,Lava domes,15.83,120.81,376
Amsterdam Island,Indian O.-S,Stratovolcano,-37.83,77.52,881
Amukta,Aleutian Is,Stratovolcano,52.5,-171.25,1066
Anatahan,Mariana Is-C Pacific,Stratovolcano,16.35,145.67,790
Anaun,Kamchatka,Stratovolcano,56.32,158.83,1828
Andahua-Orcopampa,Peru,Cinder cones,-15.42,-72.33,4713
Andrus,Antarctica,Shield volcanoes,-75.8,-132.33,2978
Aneityum,Vanuatu-SW Pacific,Stratovolcanoes,-20.2,169.78,852
Aniakchak,Alaska Peninsula,Caldera,56.88,-158.17,1341
Ankaizina Field,Madagascar,Cinder cones,-14.3,48.67,2878
Ankaratra Field,Madagascar,Cinder cones,-19.4,47.2,2644
Antillanca Group,Chile-C,Stratovolcanoes,-40.77,-72.15,1990
Antipodes Island,Pacific-S,Pyroclastic cones,-49.68,178.77,402
Antisana,Ecuador,Stratovolcano,-0.48,-78.14,5753
Antofagasta de la Sierra,Argentina,Scoria cones,-26.08,-67.5,4000
Antuco,Chile-C,Stratovolcano,-37.41,-71.35,2979
Aoba,Vanuatu-SW Pacific,Shield volcano,-15.4,167.83,1496
Aoga-shima,Izu Is-Japan,Stratovolcano,32.45,139.76,423
Apagado,Chile-S,Pyroclastic cone,-41.88,-72.58,1210
Apaneca Range,El Salvador,Stratovolcanoes,13.89,-89.79,2036
Apastepeque Field,El Salvador,Volcanic field,13.72,-88.77,700
Apo,Mindanao-Philippines,Stratovolcano,6.99,125.27,2938
Apoyeque,Nicaragua,Pyroclastic shield,12.24,-86.34,518
Aracar,Argentina,Stratovolcano,-24.25,-67.77,6082
Aragats,Armenia,Stratovolcano,40.53,44.2,4095
"Aramuaca, Laguna",El Salvador,Maar,13.43,-88.11,181
Ararat,Turkey,Stratovolcano,39.7,44.3,5165
Arayat,Luzon-Philippines,Stratovolcano,15.2,120.74,1026
Ardoukoba,Djibouti,Fissure vents,11.58,42.47,298
Arenal,Costa Rica,Stratovolcano,10.46,-84.7,1670
Arenales,Chile-S,Stratovolcano,-47.2,-73.48,3437
"Arhab, Harra of",Arabia-S,Volcanic field,15.63,44.08,3100
Arjuno-Welirang,Java,Stratovolcano,-7.73,112.58,3339
Asacha,Kamchatka,Complex volcano,52.36,157.83,1910
Asama,Honshu-Japan,Complex volcano,36.4,138.53,2568
Asavyo,Ethiopia,Shield volcano,13.07,41.6,1200
Ascension,Atlantic-C,Stratovolcano,-7.95,-14.37,858
Askja,Iceland-NE,Stratovolcano,65.03,-16.75,1516
Aso,Kyushu-Japan,Caldera,32.88,131.11,1592
Assab Volc Field,Ethiopia,Volcanic field,12.95,42.43,987
Asuncion,Mariana Is-C Pacific,Stratovolcano,19.67,145.41,857
Atacazo,Ecuador,Stratovolcano,-0.35,-78.62,4463
Atakor Volc Field,Africa-N,Scoria cones,23.33,5.83,2918
Atitlon,Guatemala,Stratovolcano,14.58,-91.19,3535
Atka,Aleutian Is,Stratovolcanoes,52.38,-174.15,1533
Atlin Volc Field,Canada,Cinder cones,59.68,-133.32,1880
"Atlixcos, Los",Mexico,Shield volcano,19.81,-96.53,800
Atsonupuri,Kuril Is,Stratovolcano,44.81,147.14,1206
"Atuel, Caldera del",Argentina,Caldera,-34.65,-70.05,5189
Auckland Field,New Zealand,Volcanic field,-36.9,174.87,260
Augustine,Alaska-SW,Lava domes,59.36,-153.43,1252
"Auquihuato, Cerro",Peru,Cinder cone,-15.07,-73.18,4980
Avachinsky,Kamchatka,Stratovolcano,53.26,158.83,2741
Awu,Sangihe Is-Indonesia,Stratovolcano,3.67,125.5,1320
Axial Seamount,Pacific-NE,Submarine volcano,45.95,-130,-1410
Ayelu,Ethiopia,Stratovolcano,10.08,40.7,2145
Azas Plateau,Russia-SE,Volcanic field,52.52,98.6,2765
Azores Archipelago,Atlantic,Cinder cones,,,
