169644942,09/30/2016,22:48:00,09/30/2016,22:50:00,09/30/2016,235,DANGEROUS DRUGS,511,CONTROLLED SUBSTANCE: POSSESSI,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,25,,STREET,,,1001446,234215,40.809533401,-73.937882826,(40.809533401: -73.937882826)
814258815,09/30/2016,22:45:00,,,09/30/2016,117,DANGEROUS DRUGS,568,MARIJUANA: POSSESSION 1: 2 & 3,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,33,FRONT OF,STREET,,,1000481,243059,40.833809505,-73.941347389,(40.833809505: -73.941347389)
707720104,09/30/2016,22:20:00,09/30/2016,22:25:00,09/30/2016,235,DANGEROUS DRUGS,511,CONTROLLED SUBSTANCE: POSSESSI,COMPLETED,MISDEMEANOR,OTHER,MANHATTAN,25,INSIDE,OTHER,,,1004138,226326,40.787874599,-73.928181646,(40.787874599: -73.928181646)
512246621,09/30/2016,21:45:00,09/30/2016,22:03:00,09/30/2016,117,DANGEROUS DRUGS,500,CONTROLLED SUBSTANCE:POSSESS.,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,32,,STREET,,,998911,236510,40.815837106,-73.947035216,(40.815837106: -73.947035216)
459413977,09/30/2016,21:30:00,09/30/2016,21:33:00,09/30/2016,117,DANGEROUS DRUGS,503,CONTROLLED SUBSTANCE:INTENT TO,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,18,FRONT OF,STREET,,,986160,216285,40.760336849,-73.993106885,(40.760336849: -73.993106885)
982347137,09/30/2016,21:08:00,09/30/2016,22:10:00,09/30/2016,235,DANGEROUS DRUGS,567,MARIJUANA: POSSESSION 4 & 5,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,32,INSIDE,RESIDENCE - APT. HOUSE,,,1001220,239781,40.824810945,-73.938685153,(40.824810945: -73.938685153)
640366016,09/30/2016,20:20:00,09/30/2016,20:27:00,09/30/2016,235,DANGEROUS DRUGS,567,MARIJUANA: POSSESSION 4 & 5,COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,25,FRONT OF,RESIDENCE - PUBLIC HOUSING,,,1001108,231977,40.803391359,-73.939109432,(40.803391359: -73.939109432)
644859115,09/30/2016,18:30:00,09/30/2016,18:35:00,09/30/2016,117,DANGEROUS DRUGS,503,CONTROLLED SUBSTANCE:INTENT TO,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,33,FRONT OF,STREET,,,999923,244407,40.837510383,-73.943360687,(40.837510383: -73.943360687)
508904794,09/30/2016,18:20:00,09/30/2016,18:22:00,09/30/2016,235,DANGEROUS DRUGS,567,MARIJUANA: POSSESSION 4 & 5,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,30,FRONT OF,STREET,,,997098,237847,40.819509618,-73.953582535,(40.819509618: -73.953582535)
184738310,09/30/2016,18:19:00,09/30/2016,18:24:00,09/30/2016,235,DANGEROUS DRUGS,567,MARIJUANA: POSSESSION 4 & 5,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,5,FRONT OF,STREET,,,984000,201117,40.718704649,-74.000903313,(40.718704649: -74.000903313)
